Epoch [156/200] | Train: 0.051121
Epoch [157/200] | Train: 0.050972
Epoch [158/200] | Train: 0.050913
Epoch [159/200] | Train: 0.050617
Epoch [160/200] | Train: 0.050134 | Val: 0.078946
Epoch [161/200] | Train: 0.050224
Epoch [162/200] | Train: 0.049924
Epoch [163/200] | Train: 0.050139
Epoch [164/200] | Train: 0.050121
Epoch [165/200] | Train: 0.050556
Epoch [166/200] | Train: 0.050040
Epoch [167/200] | Train: 0.049848
Epoch [168/200] | Train: 0.050037
Epoch [169/200] | Train: 0.050185
Epoch [170/200] | Train: 0.049974 | Val: 0.078912
Epoch [171/200] | Train: 0.050027
Epoch [172/200] | Train: 0.049814
Epoch [173/200] | Train: 0.049306
Epoch [174/200] | Train: 0.049091
Epoch [175/200] | Train: 0.049232
Epoch [176/200] | Train: 0.049545
Epoch [177/200] | Train: 0.049640
Epoch [178/200] | Train: 0.049495
Epoch [179/200] | Train: 0.049484
Epoch [180/200] | Train: 0.049520 | Val: 0.079472
Epoch [181/200] | Train: 0.049506
Epoch [182/200] | Train: 0.049183
Epoch [183/200] | Train: 0.049419
Epoch [184/200] | Train: 0.049449
Epoch [185/200] | Train: 0.048634
Epoch [186/200] | Train: 0.048887
Epoch [187/200] | Train: 0.048302
Epoch [188/200] | Train: 0.048279
Epoch [189/200] | Train: 0.048282
Epoch [190/200] | Train: 0.048488 | Val: 0.079851
Epoch [191/200] | Train: 0.048777
Epoch [192/200] | Train: 0.048535
Epoch [193/200] | Train: 0.048376
Epoch [194/200] | Train: 0.048559
Epoch [195/200] | Train: 0.048527
Epoch [196/200] | Train: 0.047932
Epoch [197/200] | Train: 0.048125
Epoch [198/200] | Train: 0.047785
Epoch [199/200] | Train: 0.048120
Epoch [200/200] | Train: 0.048194 | Val: 0.079438
Training started: 2026-02-16 17:36:22.133100
Starting from epoch 140
Epoch [141/200] | Train Loss: 0.047785
Epoch [142/200] | Train Loss: 0.047912
Epoch [143/200] | Train Loss: 0.048004
Training started: 2026-02-16 17:38:29.744516
Starting from epoch 200
Training complete: 2026-02-16 17:38:29.818682
Training started: 2026-02-16 17:44:45.104580
Starting from epoch 200
Training complete: 2026-02-16 17:44:45.202920
